student_id,name,subject,grade,semester,year,teacher
S011,Student 011,Science,84.8,Spring,2024,Teacher 3
S011,Student 011,English,58.5,Fall,2022,Teacher 4
S011,Student 011,History,65.6,Fall,2022,Teacher 1
S012,Student 012,Mathematics,70.9,Fall,2024,Teacher 5
S012,Student 012,Science,87.2,Fall,2024,Teacher 3
S012,Student 012,English,88.2,Spring,2024,Teacher 5
S012,Student 012,History,74.6,Fall,2022,Teacher 2
S013,Student 013,Mathematics,86.5,Fall,2023,Teacher 4
S013,Student 013,Science,80.0,Fall,2024,Teacher 5
S013,Student 013,English,76.7,Spring,2022,Teacher 1
S013,Student 013,History,84.8,Fall,2023,Teacher 2
S014,Student 014,Mathematics,99.5,Fall,2024,Teacher 1
S014,Student 014,Science,83.6,Spring,2023,Teacher 2
S014,Student 014,English,77.1,Fall,2022,Teacher 3
S014,Student 014,History,87.8,Fall,2023,Teacher 2
S015,Student 015,Mathematics,80.1,Spring,2024,Teacher 5
S015,Student 015,Science,73.7,Fall,2024,Teacher 3
S015,Student 015,English,99.8,Spring,2024,Teacher 1
S015,Student 015,History,70.8,Spring,2022,Teacher 4
S016,Student 016,Mathematics,94.5,Spring,2024,Teacher 4
S016,Student 016,Science,83.5,Spring,2024,Teacher 2
S016,Student 016,English,88.5,Fall,2024,Teacher 3
S016,Student 016,History,68.3,Spring,2024,Teacher 3
S017,Student 017,Mathematics,84.5,Fall,2023,Teacher 5
S017,Student 017,Science,81.5,Fall,2024,Teacher 2
S017,Student 017,English,93.3,Spring,2022,Teacher 3
S017,Student 017,History,82.7,Spring,2022,Teacher 4
S018,Student 018,Mathematics,84.1,Spring,2023,Teacher 5
S018,Student 018,Science,69.7,Fall,2023,Teacher 3
S018,Student 018,English,89.0,Spring,2024,Teacher 4
S018,Student 018,History,84.4,Fall,2023,Teacher 1
S019,Student 019,Mathematics,63.9,Fall,2024,Teacher 4
S019,Student 019,Science,76.2,Spring,2023,Teacher 2
S019,Student 019,English,100.0,Spring,2023,Teacher 1
S019,Student 019,History,74.1,Fall,2022,Teacher 2
S020,Student 020,Mathematics,88.8,Spring,2024,Teacher 1
S020,Student 020,Science,75.4,Fall,2022,Teacher 2
S020,Student 020,English,92.2,Spring,2023,Teacher 3
S020,Student 020,History,71.8,Fall,2023,Teacher 3
S021,Student 021,Mathematics,67.7,Fall,2024,Teacher 2
S021,Student 021,Science,87.3,Fall,2023,Teacher 5
S021,Student 021,English,79.9,Fall,2023,Teacher 4
S021,Student 021,History,70.4,Spring,2022,Teacher 3
S022,Student 022,Mathematics,66.5,Spring,2023,Teacher 4
S022,Student 022,Science,78.4,Fall,2023,Teacher 1
S022,Student 022,English,73.5,Spring,2024,Teacher 2
S022,Student 022,History,67.5,Spring,2023,Teacher 3
S023,Student 023,Mathematics,77.5,Fall,2023,Teacher 1
S023,Student 023,Science,90.4,Fall,2024,Teacher 2
S023,Student 023,English,79.8,Fall,2024,Teacher 5
S023,Student 023,History,86.0,Spring,2023,Teacher 2
S024,Student 024,Mathematics,64.6,Spring,2022,Teacher 3
S024,Student 024,Science,94.6,Spring,2024,Teacher 3
S024,Student 024,English,88.9,Fall,2023,Teacher 3
S024,Student 024,History,98.7,Fall,2022,Teacher 2
S025,Student 025,Mathematics,83.1,Fall,2022,Teacher 1
S025,Student 025,Science,85.0,Fall,2022,Teacher 1
S025,Student 025,English,77.5,Fall,2022,Teacher 3
S025,Student 025,History,75.3,Spring,2022,Teacher 4
S026,Student 026,Mathematics,69.0,Spring,2023,Teacher 1
S026,Student 026,Science,77.9,Fall,2024,Teacher 4
S026,Student 026,English,87.5,Spring,2023,Teacher 5
S026,Student 026,History,96.9,Spring,2022,Teacher 2
S027,Student 027,Mathematics,92.5,Spring,2022,Teacher 2
S027,Student 027,Science,78.3,Fall,2022,Teacher 4
S027,Student 027,English,83.2,Fall,2022,Teacher 4
S027,Student 027,History,76.6,Fall,2023,Teacher 3
S028,Student 028,Mathematics,67.2,Fall,2024,Teacher 1
S028,Student 028,Science,100.0,Fall,2024,Teacher 1
S028,Student 028,English,91.7,Fall,2022,Teacher 5
S028,Student 028,History,81.5,Fall,2022,Teacher 4
S029,Student 029,Mathematics,84.7,Fall,2024,Teacher 2
S029,Student 029,Science,85.8,Fall,2024,Teacher 3
S029,Student 029,English,81.7,Spring,2023,Teacher 2
S029,Student 029,History,95.6,Fall,2023,Teacher 1
S030,Student 030,Mathematics,58.5,Fall,2022,Teacher 2
S030,Student 030,Science,88.9,Fall,2023,Teacher 3
S030,Student 030,English,74.3,Spring,2022,Teacher 1
S030,Student 030,History,54.9,Fall,2023,Teacher 1
S031,Student 031,Mathematics,85.2,Spring,2022,Teacher 1
S031,Student 031,Science,82.8,Fall,2024,Teacher 4
S031,Student 031,English,100.0,Fall,2022,Teacher 2
S031,Student 031,History,99.0,Spring,2023,Teacher 4
S032,Student 032,Mathematics,85.4,Fall,2022,Teacher 1
S032,Student 032,Science,74.2,Fall,2024,Teacher 1
S032,Student 032,English,68.0,Fall,2022,Teacher 1
S032,Student 032,History,89.3,Spring,2023,Teacher 4
S033,Student 033,Mathematics,97.7,Spring,2022,Teacher 5
S033,Student 033,Science,83.6,Fall,2023,Teacher 3
S033,Student 033,English,84.2,Spring,2022,Teacher 1
S033,Student 033,History,78.8,Spring,2023,Teacher 2
S034,Student 034,Mathematics,92.8,Spring,2023,Teacher 1
S034,Student 034,Science,100.0,Fall,2024,Teacher 4
S034,Student 034,English,83.1,Fall,2024,Teacher 3
S034,Student 034,History,83.3,Spring,2024,Teacher 3
S035,Student 035,Mathematics,77.2,Fall,2023,Teacher 1
S035,Student 035,Science,65.4,Spring,2023,Teacher 3
S035,Student 035,English,79.3,Fall,2022,Teacher 2
S035,Student 035,History,93.0,Spring,2024,Teacher 2
S036,Student 036,Mathematics,81.6,Fall,2024,Teacher 4
S036,Student 036,Science,100.0,Spring,2022,Teacher 3
S036,Student 036,English,60.9,Fall,2023,Teacher 4
S036,Student 036,History,94.1,Spring,2024,Teacher 4
S037,Student 037,Mathematics,72.3,Fall,2022,Teacher 2
S037,Student 037,Science,60.4,Spring,2023,Teacher 2
S037,Student 037,English,73.9,Fall,2024,Teacher 5
S037,Student 037,History,55.4,Spring,2022,Teacher 2
S038,Student 038,Mathematics,87.5,Spring,2023,Teacher 4
S038,Student 038,Science,81.2,Spring,2023,Teacher 3
S038,Student 038,English,87.5,Spring,2024,Teacher 2
S038,Student 038,History,67.3,Spring,2022,Teacher 3
S039,Student 039,Mathematics,99.5,Fall,2022,Teacher 1
S039,Student 039,Science,82.0,Spring,2022,Teacher 3
S039,Student 039,English,84.3,Fall,2022,Teacher 1
S039,Student 039,History,75.3,Spring,2022,Teacher 2
S040,Student 040,Mathematics,93.1,Spring,2022,Teacher 2
S040,Student 040,Science,86.9,Spring,2024,Teacher 4
S040,Student 040,English,77.4,Spring,2022,Teacher 2
S040,Student 040,History,52.6,Spring,2024,Teacher 1
S041,Student 041,Mathematics,72.3,Fall,2024,Teacher 2
S041,Student 041,Science,68.1,Spring,2022,Teacher 1
S041,Student 041,English,99.7,Fall,2022,Teacher 5
S041,Student 041,History,76.7,Fall,2024,Teacher 5
S042,Student 042,Mathematics,67.5,Fall,2024,Teacher 2
S042,Student 042,Science,84.9,Spring,2024,Teacher 1
S042,Student 042,English,77.6,Fall,2023,Teacher 2
S042,Student 042,History,84.6,Spring,2022,Teacher 4
S043,Student 043,Mathematics,78.4,Spring,2022,Teacher 2
S043,Student 043,Science,100.0,Fall,2024,Teacher 1
S043,Student 043,English,92.0,Fall,2022,Teacher 4
S043,Student 043,History,86.4,Fall,2022,Teacher 5
S044,Student 044,Mathematics,63.4,Fall,2022,Teacher 3
S044,Student 044,Science,84.4,Fall,2022,Teacher 3
S044,Student 044,English,78.8,Fall,2023,Teacher 1
S044,Student 044,History,86.3,Fall,2024,Teacher 2
S045,Student 045,Mathematics,99.1,Fall,2022,Teacher 1
S045,Student 045,Science,86.5,Fall,2022,Teacher 5
S045,Student 045,English,80.6,Fall,2023,Teacher 1
S045,Student 045,History,67.8,Spring,2022,Teacher 4
S046,Student 046,Mathematics,63.5,Fall,2024,Teacher 2
S046,Student 046,Science,89.4,Fall,2022,Teacher 2
S046,Student 046,English,65.4,Spring,2023,Teacher 5
S046,Student 046,History,64.4,Spring,2023,Teacher 4
S047,Student 047,Mathematics,80.4,Spring,2022,Teacher 2
S047,Student 047,Science,84.5,Spring,2022,Teacher 4
S047,Student 047,English,80.9,Spring,2023,Teacher 4
S047,Student 047,History,75.6,Fall,2023,Teacher 4
S048,Student 048,Mathematics,75.1,Spring,2023,Teacher 1
S048,Student 048,Science,92.9,Fall,2023,Teacher 2
S048,Student 048,English,96.5,Fall,2023,Teacher 2
S048,Student 048,History,89.4,Spring,2022,Teacher 3
S049,Student 049,Mathematics,95.8,Fall,2022,Teacher 3
S049,Student 049,Science,72.7,Fall,2022,Teacher 2
S049,Student 049,English,88.0,Fall,2022,Teacher 3
S049,Student 049,History,100.0,Fall,2023,Teacher 2
S050,Student 050,Mathematics,63.6,Spring,2024,Teacher 2
S050,Student 050,Science,64.3,Fall,2023,Teacher 1
S050,Student 050,English,60.8,Spring,2023,Teacher 2
S050,Student 050,History,91.8,Spring,2023,Teacher 4
S051,Student 051,Mathematics,100.0,Spring,2024,Teacher 3
S051,Student 051,Science,85.0,Spring,2024,Teacher 4
S051,Student 051,English,88.4,Spring,2024,Teacher 3
S051,Student 051,History,69.1,Fall,2023,Teacher 5
S052,Student 052,Mathematics,79.9,Fall,2023,Teacher 5
S052,Student 052,Science,73.0,Fall,2024,Teacher 5
S052,Student 052,English,85.9,Fall,2023,Teacher 5
S052,Student 052,History,92.9,Fall,2023,Teacher 3
S053,Student 053,Mathematics,78.4,Fall,2023,Teacher 4
S053,Student 053,Science,88.3,Fall,2024,Teacher 5
S053,Student 053,English,67.6,Spring,2022,Teacher 1
S053,Student 053,History,87.4,Fall,2023,Teacher 3
S054,Student 054,Mathematics,71.8,Fall,2022,Teacher 5
S054,Student 054,Science,76.6,Spring,2024,Teacher 5
S054,Student 054,English,77.6,Fall,2024,Teacher 5
S054,Student 054,History,79.4,Spring,2023,Teacher 4
S055,Student 055,Mathematics,73.5,Fall,2022,Teacher 5
S055,Student 055,Science,72.1,Fall,2022,Teacher 5
S055,Student 055,English,93.2,Spring,2022,Teacher 5
S055,Student 055,History,86.4,Fall,2024,Teacher 5
S056,Student 056,Mathematics,95.3,Fall,2024,Teacher 3
S056,Student 056,Science,100.0,Spring,2024,Teacher 2
S056,Student 056,English,66.0,Fall,2024,Teacher 3
S056,Student 056,History,60.8,Spring,2023,Teacher 4
S057,Student 057,Mathematics,78.5,Fall,2024,Teacher 1
S057,Student 057,Science,88.6,Fall,2022,Teacher 3
S057,Student 057,English,67.0,Fall,2022,Teacher 5
S057,Student 057,History,82.2,Fall,2024,Teacher 2
S058,Student 058,Mathematics,84.0,Spring,2023,Teacher 3
S058,Student 058,Science,85.2,Fall,2022,Teacher 3
S058,Student 058,English,82.7,Spring,2024,Teacher 2
S058,Student 058,History,83.5,Fall,2022,Teacher 2
S059,Student 059,Mathematics,80.9,Fall,2023,Teacher 4
S059,Student 059,Science,100.0,Fall,2024,Teacher 3
S059,Student 059,English,53.9,Spring,2022,Teacher 3
S059,Student 059,History,74.6,Fall,2022,Teacher 1
S060,Student 060,Mathematics,78.4,Spring,2023,Teacher 1
S060,Student 060,Science,78.2,Spring,2023,Teacher 1
S060,Student 060,English,74.2,Spring,2022,Teacher 1
S060,Student 060,History,84.8,Spring,2023,Teacher 2
S061,Student 061,Mathematics,100.0,Spring,2023,Teacher 4
S061,Student 061,Science,87.9,Spring,2024,Teacher 1
S061,Student 061,English,100.0,Fall,2023,Teacher 3
S061,Student 061,History,75.7,Spring,2023,Teacher 3
S062,Student 062,Mathematics,61.7,Fall,2022,Teacher 2
S062,Student 062,Science,87.8,Fall,2022,Teacher 5
S062,Student 062,English,93.9,Fall,2023,Teacher 2
S062,Student 062,History,70.0,Spring,2022,Teacher 1
S063,Student 063,Mathematics,91.4,Spring,2023,Teacher 5
S063,Student 063,Science,68.8,Spring,2023,Teacher 4
S063,Student 063,English,75.2,Fall,2024,Teacher 2
S063,Student 063,History,71.8,Fall,2024,Teacher 1
S064,Student 064,Mathematics,82.2,Spring,2023,Teacher 3
S064,Student 064,Science,79.3,Fall,2023,Teacher 5
S064,Student 064,English,73.6,Spring,2023,Teacher 5
S064,Student 064,History,100.0,Fall,2022,Teacher 5
S065,Student 065,Mathematics,73.9,Fall,2023,Teacher 1
S065,Student 065,Science,78.3,Fall,2023,Teacher 2
S065,Student 065,English,72.1,Spring,2022,Teacher 5
S065,Student 065,History,94.2,Spring,2023,Teacher 5
S066,Student 066,Mathematics,80.0,Fall,2022,Teacher 1
S066,Student 066,Science,69.4,Spring,2023,Teacher 3
S066,Student 066,English,88.3,Spring,2024,Teacher 4
S066,Student 066,History,70.7,Spring,2023,Teacher 4
S067,Student 067,Mathematics,89.1,Fall,2024,Teacher 5
S067,Student 067,Science,92.0,Spring,2023,Teacher 4
S067,Student 067,English,81.6,Fall,2023,Teacher 1
S067,Student 067,History,68.4,Spring,2023,Teacher 2
S068,Student 068,Mathematics,90.0,Fall,2024,Teacher 3
S068,Student 068,Science,91.7,Spring,2023,Teacher 2
S068,Student 068,English,71.6,Spring,2022,Teacher 3
S068,Student 068,History,80.4,Fall,2022,Teacher 1
S069,Student 069,Mathematics,71.8,Spring,2022,Teacher 5
S069,Student 069,Science,82.6,Fall,2022,Teacher 4
S069,Student 069,English,100.0,Spring,2023,Teacher 1
S069,Student 069,History,82.7,Spring,2023,Teacher 2
S070,Student 070,Mathematics,75.9,Fall,2024,Teacher 2
S070,Student 070,Science,66.1,Fall,2024,Teacher 2
S070,Student 070,English,63.2,Spring,2022,Teacher 3
S070,Student 070,History,79.8,Fall,2024,Teacher 3
S071,Student 071,Mathematics,92.6,Fall,2022,Teacher 2
S071,Student 071,Science,100.0,Fall,2022,Teacher 2
S071,Student 071,English,71.0,Fall,2023,Teacher 4
S071,Student 071,History,82.4,Fall,2024,Teacher 1
S072,Student 072,Mathematics,79.5,Fall,2022,Teacher 5
S072,Student 072,Science,79.3,Spring,2022,Teacher 5
S072,Student 072,English,93.0,Spring,2023,Teacher 1
S072,Student 072,History,78.3,Fall,2024,Teacher 5
S073,Student 073,Mathematics,100.0,Spring,2024,Teacher 4
S073,Student 073,Science,66.3,Spring,2022,Teacher 1
S073,Student 073,English,86.3,Fall,2024,Teacher 3
S073,Student 073,History,77.5,Fall,2023,Teacher 3
S074,Student 074,Mathematics,75.5,Spring,2022,Teacher 5
S074,Student 074,Science,75.4,Spring,2023,Teacher 5
S074,Student 074,English,77.2,Fall,2022,Teacher 1
S074,Student 074,History,75.0,Fall,2024,Teacher 3
S075,Student 075,Mathematics,56.8,Spring,2022,Teacher 1
S075,Student 075,Science,73.9,Spring,2022,Teacher 5
S075,Student 075,English,65.2,Spring,2022,Teacher 5
S075,Student 075,History,81.5,Fall,2024,Teacher 4
S076,Student 076,Mathematics,100.0,Spring,2022,Teacher 5
S076,Student 076,Science,58.5,Spring,2022,Teacher 2
S076,Student 076,English,87.3,Spring,2022,Teacher 3
S076,Student 076,History,87.2,Spring,2024,Teacher 5
S077,Student 077,Mathematics,90.4,Fall,2022,Teacher 5
S077,Student 077,Science,62.7,Fall,2024,Teacher 4
S077,Student 077,English,67.4,Spring,2023,Teacher 1
S077,Student 077,History,76.0,Spring,2022,Teacher 4
S078,Student 078,Mathematics,71.7,Spring,2023,Teacher 4
S078,Student 078,Science,76.7,Fall,2023,Teacher 4
S078,Student 078,English,76.8,Fall,2024,Teacher 4
S078,Student 078,History,68.6,Fall,2023,Teacher 2
S079,Student 079,Mathematics,81.4,Spring,2023,Teacher 1
S079,Student 079,Science,88.8,Fall,2024,Teacher 1
S079,Student 079,English,89.0,Fall,2022,Teacher 2
S079,Student 079,History,82.7,Spring,2023,Teacher 1
S080,Student 080,Mathematics,89.1,Fall,2024,Teacher 3
S080,Student 080,Science,94.6,Fall,2023,Teacher 3
S080,Student 080,English,85.9,Spring,2023,Teacher 5
S080,Student 080,History,72.2,Spring,2022,Teacher 5
S081,Student 081,Mathematics,76.3,Spring,2022,Teacher 5
S081,Student 081,Science,86.4,Fall,2022,Teacher 3
S081,Student 081,English,78.7,Fall,2022,Teacher 1
S081,Student 081,History,96.7,Fall,2022,Teacher 2
S082,Student 082,Mathematics,82.4,Fall,2022,Teacher 4
S082,Student 082,Science,88.3,Spring,2022,Teacher 2
S082,Student 082,English,89.8,Spring,2023,Teacher 1
S082,Student 082,History,72.9,Fall,2022,Teacher 2
S083,Student 083,Mathematics,80.1,Fall,2024,Teacher 2
S083,Student 083,Science,78.5,Spring,2023,Teacher 3
S083,Student 083,English,83.7,Spring,2024,Teacher 4
S083,Student 083,History,71.1,Spring,2024,Teacher 2
S084,Student 084,Mathematics,94.4,Fall,2024,Teacher 4
S084,Student 084,Science,79.5,Spring,2022,Teacher 5
S084,Student 084,English,86.5,Spring,2022,Teacher 4
S084,Student 084,History,78.2,Fall,2022,Teacher 1
S085,Student 085,Mathematics,97.5,Spring,2023,Teacher 4
S085,Student 085,Science,85.7,Fall,2022,Teacher 2
S085,Student 085,English,99.0,Spring,2024,Teacher 3
S085,Student 085,History,75.7,Spring,2024,Teacher 3
S086,Student 086,Mathematics,90.3,Fall,2024,Teacher 5
S086,Student 086,Science,82.6,Spring,2022,Teacher 5
S086,Student 086,English,80.7,Spring,2023,Teacher 3
S086,Student 086,History,90.1,Spring,2024,Teacher 3
S087,Student 087,Mathematics,90.3,Spring,2024,Teacher 4
S087,Student 087,Science,59.7,Spring,2024,Teacher 4
S087,Student 087,English,87.5,Spring,2023,Teacher 5
S087,Student 087,History,100.0,Spring,2022,Teacher 4
S088,Student 088,Mathematics,71.3,Fall,2023,Teacher 4
S088,Student 088,Science,68.8,Fall,2022,Teacher 3
S088,Student 088,English,77.3,Spring,2022,Teacher 4
S088,Student 088,History,83.0,Spring,2022,Teacher 3
S089,Student 089,Mathematics,88.1,Spring,2022,Teacher 5
S089,Student 089,Science,100.0,Spring,2022,Teacher 2
S089,Student 089,English,71.1,Fall,2023,Teacher 3
S089,Student 089,History,86.4,Spring,2022,Teacher 1
S090,Student 090,Mathematics,91.6,Spring,2022,Teacher 5
S090,Student 090,Science,82.1,Spring,2023,Teacher 1
S090,Student 090,English,76.0,Fall,2023,Teacher 2
S090,Student 090,History,83.8,Fall,2024,Teacher 3
S091,Student 091,Mathematics,79.3,Spring,2024,Teacher 4
S091,Student 091,Science,89.4,Spring,2022,Teacher 1
S091,Student 091,English,76.8,Spring,2023,Teacher 3
S091,Student 091,History,81.6,Spring,2023,Teacher 3
S092,Student 092,Mathematics,81.9,Fall,2024,Teacher 2
S092,Student 092,Science,85.4,Fall,2023,Teacher 2
S092,Student 092,English,87.7,Fall,2024,Teacher 1
S092,Student 092,History,78.0,Spring,2022,Teacher 5
S093,Student 093,Mathematics,78.7,Spring,2022,Teacher 1
S093,Student 093,Science,95.5,Fall,2023,Teacher 3
S093,Student 093,English,86.7,Fall,2023,Teacher 2
S093,Student 093,History,63.3,Fall,2024,Teacher 4
S094,Student 094,Mathematics,80.9,Spring,2023,Teacher 2
S094,Student 094,Science,82.1,Spring,2024,Teacher 1
S094,Student 094,English,68.3,Spring,2023,Teacher 1
S094,Student 094,History,92.3,Fall,2024,Teacher 1
S095,Student 095,Mathematics,73.6,Spring,2024,Teacher 1
S095,Student 095,Science,97.8,Spring,2024,Teacher 3
S095,Student 095,English,87.2,Spring,2022,Teacher 4
S095,Student 095,History,83.6,Fall,2022,Teacher 1
S096,Student 096,Mathematics,86.1,Spring,2022,Teacher 2
S096,Student 096,Science,82.5,Fall,2024,Teacher 3
S096,Student 096,English,71.7,Fall,2024,Teacher 4
S096,Student 096,History,77.1,Fall,2024,Teacher 4
S097,Student 097,Mathematics,60.7,Spring,2024,Teacher 5
S097,Student 097,Science,100.0,Spring,2022,Teacher 2
S097,Student 097,English,90.9,Spring,2024,Teacher 4
S097,Student 097,History,73.3,Spring,2022,Teacher 5
S098,Student 098,Mathematics,94.4,Spring,2023,Teacher 4
S098,Student 098,Science,78.7,Spring,2022,Teacher 2
S098,Student 098,English,93.0,Spring,2024,Teacher 4
S098,Student 098,History,68.9,Spring,2024,Teacher 2
S099,Student 099,Mathematics,100.0,Spring,2022,Teacher 3
S099,Student 099,Science,80.2,Spring,2024,Teacher 2
S099,Student 099,English,66.9,Spring,2022,Teacher 3
S099,Student 099,History,77.1,Spring,2024,Teacher 5
S100,Student 100,Mathematics,86.4,Fall,2022,Teacher 3
S100,Student 100,Science,75.7,Fall,2023,Teacher 2
S100,Student 100,English,88.4,Fall,2022,Teacher 2
S100,Student 100,History,89.8,Fall,2024,Teacher 3
